4f	A/Human/WA/35449_2023_H3N2/2023(H3N2)|G.1.1
50	A/Human/WA/97243/2022(H3N2)|G.1.1
51	A/Human/WA/60102/2022(H3N2)|G.1.1
52	A/Human/New_York_City/PV63207/2022(H3N2)|G.1.1
53	A/Human/Snohomish_County/WA-S25364/2022(H3N2)|G.1.1
54	A/Human/USA/PV63071/2022(H3N2)|G.1.1
55	A/Human/WA/37HL20/2022(H3N2)|G.1.1
56	A/Human/WA/03541/2022(H3N2)|G.1.1.2
57	A/Human/WA/78871/2022(H3N2)|G.1.1.2
58	A/Human/New_York_City/PV42637/2021(H3N2)|G.1.1.1
59	A/Human/Snohomish_County/WA-S25354/2022(H3N2)|G.1.1.1
5a	A/Human/New_York_City/PV42793/2022(H3N2)|G.1.1.1
5b	A/Human/New_York_City/PV42620/2021(H3N2)|G.1.1.1
5c	A/Human/Bethesda/001/2021(H3N2)|G.1.1.1
5d	A/Human/New_York_City/PV43235/2021(H3N2)|G.1.1.1
5e	A/Human/New_York_City/PV42530/2021(H3N2)|G.1.1.1
5f	A/Human/New_York_City/PV42739/2022(H3N2)|G.1.1.1
60	A/Human/New_York_City/PV63185/2022(H3N2)|G.1.1.1
61	A/Human/WA/40738/2022(H3N2)|G.2
62	A/Human/WA/VPC5C2/2022(H3N2)|G.2
63	A/Human/King_County/WA-S26115/2023(H3N2)|G.2
64	A/Human/WA/G7TG25/2022(H3N2)|G.2
65	A/Human/WA/04730/2022(H3N2)|G.2
66	A/Human/WA/36157/2022(H3N2)|G.2
67	A/Human/WA/FZGSR2/2022(H3N2)|G.2
68	A/Human/WA/17052/2022(H3N2)|G.2
69	A/Human/New_York_City/PV63292/2022(H3N2)|G.2
6a	A/Human/WA/13929/2022(H3N2)|G.2
6b	A/Human/Florida/124/2022(H3N2)|G.2
6c	A/Human/WA/26773/2022(H3N2)|G.2.1
6d	A/Human/WA/95880/2022(H3N2)|G.2.1
6e	A/Human/China/22TZ016/2022(H3N2)|F.1.1
6f	A/Human/New_Zealand/19CF0023/2019(H3N2)|E.2
70	A/Swine/Iowa/21TOSU0636/2021(H3N2)|B.1.2.1
71	A/Swine/Iowa/21TOSU0676/2021(H3N2)|B.1.2.1
72	A/Swine/Oklahoma/65980/2017(H3N2)|B.1
73	A/Human/California/NHRC_CG5903/2017(H3N2)|B.1
74	A/Human/South_Australia/1004/2018(H3N2)|B.1
75	A/Human/Wuhan/2153/2018(H3N2)|B.1
76	A/Human/Seoul/1287/2018(H3N2)|B.1.2.1
77	A/Human/GREECE/35/2017(H3N2)|B.1.1
78	A/Human/New_York_City/PV00688/2018(H3N2)|B.1.1
79	A/Human/Gainesville/13/2016(H3N2)|B.1
7a	A/Human/New_York_City/PV98/2017(H3N2)|B
7b	A/Human/Santiago/PUC-MVL_012/2017(H3N2)|B
7c	A/Human/Taiwan/07/2017(H3N2)|B
7d	A/Human/New_York_City/PV01139/2018(H3N2)|B.2
7e	A/Human/New_Zealand/18VR0510/2018(H3N2)|B.2
7f	A/Human/New_York_City/PV00910/2018(H3N2)|B.2
80	A/Human/USA/PV01188/2018(H3N2)|B.2
81	A/Human/New_York_City/PV01552/2018(H3N2)|B.2
82	A/Human/New_York_City/PV01537/2018(H3N2)|B.2
83	A/Human/Nicaragua/5157_04/2017(H3N2)|B.2
84	A/Human/Nicaragua/8538_07/2017(H3N2)|B.2
85	A/Human/Santiago/p019d0/2017(H3N2)|B.2
86	A/Human/Australia/02/2017(H3N2)|B.2
87	A/Human/Singapore/01/2017(H3N2)|B.2
88	A/Human/Wuhan/279/2017(H3N2)|B.2
89	A/Human/Bethesda/P0053/2015(H3N2)|B
8a	A/Human/New_Zealand/15HB0941/2015(H3N2)|B
8b	A/Human/New_Zealand/15HB2517/2015(H3N2)|B
8c	A/Human/Alabama/05/2016(H3N2)|B
8d	A/Human/Brisbane/94/2017(H3N2)|B.3
8e	A/Human/New_Zealand/17CF0671/2017(H3N2)|B.3
8f	A/Human/New_Zealand/17CF0405/2017(H3N2)|B.4
90	A/Human/Connecticut/Flu036/2012(H3N2)|A.2
91	A/Human/Connecticut/Flu178/2013(H3N2)|A.2
92	A/Human/Connecticut/Flu074/2012(H3N2)|A.2
93	A/Human/Maryland/84_5D/2013(H3N2)|A.2
94	A/Human/Maryland/90_5/2013(H3N2)|A.2
95	A/Human/Connecticut/Flu068/2012(H3N2)|A.2
96	A/Human/Parma/54/2014(H3N2)|A.2
97	A/Human/New_York/WC-LVD-12-077/2012(H3N2)|A.2
98	A/Human/Connecticut/Flu007/2012(H3N2)|A.2
99	A/Human/Connecticut/Flu141/2013(H3N2)|A.3
9a	A/Human/Connecticut/Flu147/2013(H3N2)|A.3
9b	A/Human/Connecticut/Flu146/2013(H3N2)|A.3
